"","date","RH","Tair"
"1",2019-03-30,51.7535795833333,13.1464022916667
"2",2019-03-31,59.0630406521739,14.2264796086957
"3",2019-04-01,75.466633125,13.8439781875
"4",2019-04-02,66.4051708333333,15.097743375
"5",2019-04-03,49.8650945833333,13.5268269791667
"6",2019-04-04,53.479318125,9.93957688125
"7",2019-04-05,79.63164,9.12991170833333
"8",2019-04-06,77.8736066666667,8.82299210416667
"9",2019-04-07,87.242608125,10.1602288333333
"10",2019-04-08,77.2305347916667,12.880919875
"11",2019-04-09,75.61933375,11.5064841875
"12",2019-04-10,64.2341058333333,12.607101875
"13",2019-04-11,64.0869020833333,12.0530023958333
"14",2019-04-12,61.000143125,12.7588411875
"15",2019-04-13,59.2412435416667,15.0577588958333
"16",2019-04-14,72.6234958333333,18.1051422916667
"17",2019-04-15,77.3128135416667,16.2278577083333
"18",2019-04-16,64.7990533333333,15.1197559166667
"19",2019-04-17,70.1801958333333,15.0603172916667
"20",2019-04-18,89.4452895833333,12.82927625
"21",2019-04-19,87.8414485416667,12.5586304375
"22",2019-04-20,66.7556364583333,16.4649365833333
"23",2019-04-21,70.097293125,13.7193589166667
"24",2019-04-22,66.4631147916667,14.8539370833333
"25",2019-04-23,76.6953320833333,11.0841773958333
"26",2019-04-24,97.7503033333333,10.2418473333333
"27",2019-04-25,79.2954725,11.6657029791667
"28",2019-04-26,64.8911489583333,13.831961125
"29",2019-04-27,68.5317914583333,14.9540215416667
"30",2019-04-28,69.67724,17.9165121041667
"31",2019-04-29,63.500928125,19.34128125
"32",2019-04-30,62.2440227083333,20.4759664583333
"33",2019-05-01,58.3683314583333,20.8411033333333
"34",2019-05-02,59.610829375,20.4057308333333
"35",2019-05-03,50.9540710416667,19.8182808333333
"36",2019-05-04,52.5746816666667,17.2837031041667
"37",2019-05-05,57.1156677083333,18.167606625
"38",2019-05-06,56.189365625,19.0980802083333
"39",2019-05-07,72.25150875,17.1434614583333
"40",2019-05-08,75.6122279166667,17.4211933333333
"41",2019-05-09,76.4911129166667,16.596466875
"42",2019-05-10,72.9759954166667,19.6336185416667
"43",2019-05-11,61.6311389583333,20.1938137916667
"44",2019-05-12,38.12886375,20.6594514583333
"45",2019-05-13,44.17495625,20.9920906458333
"46",2019-05-14,43.1223285416667,22.2408997916667
"47",2019-05-15,50.87811125,23.3572835416667
"48",2019-05-16,51.666075,21.1825675
"49",2019-05-17,46.1953333333333,16.2769433333333
"50",2019-05-18,37.2316208333333,16.5253616666667
"51",2019-05-19,45.10637375,16.10230175
"52",2019-05-20,48.172133125,16.9707172708333
"53",2019-05-21,51.2737629166667,18.83948975
"54",2019-05-22,48.7324020833333,21.6788454166667
"55",2019-05-23,49.1292539583333,22.80861
"56",2019-05-24,46.423755625,21.926730625
"57",2019-05-25,41.3473775,20.937999375
"58",2019-05-26,43.9028577083333,22.0264395833333
"59",2019-05-27,44.2056810416667,23.9604077083333
"60",2019-05-28,38.20496875,24.3483814583333
"61",2019-05-29,38.0491166666667,22.2315922916667
"62",2019-05-30,40.059965,23.5171697916667
"63",2019-05-31,38.3539235416667,25.555815
"64",2019-06-01,41.8214241666667,25.6432464583333
"65",2019-06-02,37.345703125,26.879818125
"66",2019-06-03,29.1967433333333,27.833864375
"67",2019-06-04,52.298054375,22.1159125
